"data";"ativo";"preco_abertura";"preco_alto";"preco_baixo";"preco_fechamento";"volume_negociado";"indicador";"valor_indicador";"rendimento_tesouro"
2024-12-05;VALE3.SA;57.460;57.800;56.870;57.800;14160000;Double Exponential Moving Average (DEMA);57.500;4.150
2024-12-05;PETR4.SA;39.390;39.810;39.210;39.640;25214200;Weighted Moving Average (WMA);37.657;4.150
2024-12-05;MSFT;437.920;444.660;436.171;442.620;21697775;Commodity Channel Index (CCI);151.260;4.150
2024-12-05;ITUB4.SA;32.980;33.500;32.800;33.380;32610100;Triple Exponential Moving Average (TEMA);32.076;4.150
2024-12-05;GOOGL;175.360;176.060;172.330;172.640;21356243;Simple Moving Average (SMA);169.580;4.150
2024-12-05;AAPL;243.990;244.540;242.130;243.040;40033878;Exponential Moving Average (EMA);236.686;4.150
2024-12-04;VALE3.SA;58.400;58.480;56.960;57.330;25109200;Double Exponential Moving Average (DEMA);57.808;4.130
2024-12-04;PETR4.SA;39.500;39.860;38.980;39.250;31584400;Weighted Moving Average (WMA);37.584;4.130
2024-12-04;MSFT;433.030;439.670;432.630;437.420;26009429;Commodity Channel Index (CCI);149.131;4.130
2024-12-04;ITUB4.SA;32.410;32.850;32.360;32.680;22165100;Triple Exponential Moving Average (TEMA);31.904;4.130
2024-12-04;GOOGL;171.145;174.910;171.060;174.370;31615137;Simple Moving Average (SMA);169.777;4.130
2024-12-04;AAPL;242.870;244.110;241.250;243.010;44383935;Exponential Moving Average (EMA);235.063;4.130
2024-12-03;VALE3.SA;59.300;59.360;58.470;58.470;15957500;Double Exponential Moving Average (DEMA);57.812;4.170
2024-12-03;PETR4.SA;39.400;39.500;39.080;39.500;22536200;Weighted Moving Average (WMA);37.467;4.170
2024-12-03;MSFT;429.840;432.470;427.740;431.200;18301987;Commodity Channel Index (CCI);120.994;4.170
2024-12-03;ITUB4.SA;32.210;32.520;32.180;32.480;20615600;Triple Exponential Moving Average (TEMA);32.073;4.170
2024-12-03;GOOGL;171.490;172.680;170.850;171.340;22248705;Simple Moving Average (SMA);170.035;4.170
2024-12-03;AAPL;239.810;242.760;238.900;242.650;38861017;Exponential Moving Average (EMA);233.329;4.170
2024-12-02;VALE3.SA;58.850;59.380;58.690;58.920;18972100;Double Exponential Moving Average (DEMA);57.425;4.170
2024-12-02;PETR4.SA;38.900;39.400;38.770;39.150;31711800;Weighted Moving Average (WMA);37.330;4.170
2024-12-02;MSFT;421.570;433.000;421.310;430.980;20207223;Commodity Channel Index (CCI);132.363;4.170
2024-12-02;ITUB4.SA;32.390;32.650;32.000;32.120;22086700;Triple Exponential Moving Average (TEMA);32.502;4.170
2024-12-02;GOOGL;168.765;172.075;168.570;171.490;23789084;Simple Moving Average (SMA);170.227;4.170
2024-12-02;AAPL;237.270;240.790;237.160;239.590;48137103;Exponential Moving Average (EMA);231.888;4.170
2024-11-29;VALE3.SA;58.250;59.210;58.150;58.780;31023600;Double Exponential Moving Average (DEMA);57.113;4.130
2024-11-29;PETR4.SA;38.500;39.220;38.410;38.900;44011700;Weighted Moving Average (WMA);37.245;4.130
2024-11-29;MSFT;420.090;424.880;417.800;423.460;16271921;Commodity Channel Index (CCI);76.597;4.130
2024-11-29;ITUB4.SA;32.760;32.930;32.180;32.600;36823900;Triple Exponential Moving Average (TEMA);33.058;4.130
2024-11-29;GOOGL;168.500;169.430;167.160;168.950;14257244;Simple Moving Average (SMA);170.723;4.130
2024-11-29;AAPL;234.810;237.810;233.970;237.330;28481377;Exponential Moving Average (EMA);230.692;4.130
2024-11-27;VALE3.SA;57.870;58.420;57.600;58.130;22121200;Double Exponential Moving Average (DEMA);56.952;4.190
2024-11-27;PETR4.SA;39.200;39.360;38.750;38.990;30600700;Weighted Moving Average (WMA);37.064;4.190
2024-11-27;MSFT;425.105;427.230;422.020;422.990;18332444;Commodity Channel Index (CCI);102.726;4.190
2024-11-27;ITUB4.SA;34.680;34.850;33.720;33.900;23668200;Triple Exponential Moving Average (TEMA);33.918;4.190
2024-11-27;GOOGL;169.000;169.483;168.020;169.230;19266511;Simple Moving Average (SMA);171.700;4.190
2024-11-27;AAPL;234.465;235.690;233.810;234.930;33498439;Exponential Moving Average (EMA);229.777;4.190
2024-11-26;VALE3.SA;58.290;58.490;57.150;57.430;21406600;Double Exponential Moving Average (DEMA);56.959;4.210
2024-11-26;PETR4.SA;39.360;39.510;39.060;39.130;35188200;Weighted Moving Average (WMA);36.801;4.210
2024-11-26;MSFT;419.585;429.041;418.850;427.990;23458889;Commodity Channel Index (CCI);127.331;4.210
2024-11-26;ITUB4.SA;34.200;35.160;34.170;34.750;26712200;Triple Exponential Moving Average (TEMA);33.703;4.210
2024-11-26;GOOGL;167.630;169.820;167.580;169.120;20486720;Simple Moving Average (SMA);172.845;4.210
2024-11-26;AAPL;233.330;235.570;233.330;235.060;45986189;Exponential Moving Average (EMA);228.735;4.210
2024-11-25;VALE3.SA;58.180;58.560;58.120;58.170;17444500;Double Exponential Moving Average (DEMA);56.804;4.210
2024-11-25;PETR4.SA;39.380;39.860;39.150;39.180;41119500;Weighted Moving Average (WMA);36.448;4.210
2024-11-25;MSFT;418.380;421.080;414.850;418.790;27691090;Commodity Channel Index (CCI);14.230;4.210
2024-11-25;ITUB4.SA;34.090;34.210;33.970;34.100;23845800;Triple Exponential Moving Average (TEMA);33.723;4.210
2024-11-25;GOOGL;166.090;168.630;165.607;167.650;33135263;Simple Moving Average (SMA);174.063;4.210
2024-11-25;AAPL;231.460;233.245;229.740;232.870;90152832;Exponential Moving Average (EMA);227.714;4.210
2024-11-22;VALE3.SA;57.440;58.270;57.250;58.180;12590500;Double Exponential Moving Average (DEMA);56.669;4.370
2024-11-22;PETR4.SA;38.710;39.830;38.470;39.420;85234900;Weighted Moving Average (WMA);36.024;4.370
2024-11-22;MSFT;411.365;417.400;411.060;417.000;24814626;Commodity Channel Index (CCI);-48.857;4.370
2024-11-22;ITUB4.SA;34.400;34.400;33.940;34.110;12889800;Triple Exponential Moving Average (TEMA);33.847;4.370
2024-11-22;GOOGL;165.850;166.460;163.900;164.760;38604587;Simple Moving Average (SMA);175.310;4.370
2024-11-22;AAPL;228.060;230.720;228.060;229.870;38168252;Exponential Moving Average (EMA);226.882;4.370
2024-11-21;VALE3.SA;57.500;57.800;57.210;57.620;15428500;Double Exponential Moving Average (DEMA);56.843;4.340
2024-11-21;PETR4.SA;37.970;38.130;37.550;37.910;36048400;Weighted Moving Average (WMA);35.653;4.340
2024-11-21;MSFT;419.500;419.780;410.289;412.870;20780162;Commodity Channel Index (CCI);-74.783;4.340
2024-11-21;ITUB4.SA;34.240;34.430;34.010;34.010;25355200;Triple Exponential Moving Average (TEMA);33.846;4.340
2024-11-21;GOOGL;173.900;174.130;163.700;167.630;59734379;Simple Moving Average (SMA);176.788;4.340
2024-11-21;AAPL;228.880;230.155;225.710;228.520;42108327;Exponential Moving Average (EMA);226.620;4.340
2024-11-20;MSFT;416.870;417.290;410.580;415.490;19191655;Commodity Channel Index (CCI);-104.055;4.310
2024-11-20;GOOGL;177.340;177.675;173.780;175.980;18997111;Simple Moving Average (SMA);177.139;4.310
2024-11-20;AAPL;228.060;229.930;225.890;229.000;35169566;Exponential Moving Average (EMA);226.118;4.310
2024-11-19;VALE3.SA;57.800;57.980;57.460;57.680;12902100;Double Exponential Moving Average (DEMA);57.081;4.270
2024-11-19;PETR4.SA;38.100;38.300;37.650;37.800;26002700;Weighted Moving Average (WMA);35.369;4.270
2024-11-19;MSFT;413.110;417.940;411.550;417.790;18133529;Commodity Channel Index (CCI);-91.284;4.270
2024-11-19;ITUB4.SA;34.300;34.700;34.160;34.610;15904500;Triple Exponential Moving Average (TEMA);33.974;4.270
2024-11-19;GOOGL;173.720;178.870;173.560;178.120;23434925;Simple Moving Average (SMA);176.785;4.270
2024-11-19;AAPL;226.980;230.160;226.660;228.280;36211774;Exponential Moving Average (EMA);225.687;4.270
2024-11-18;VALE3.SA;57.090;57.780;56.970;57.550;14300000;Double Exponential Moving Average (DEMA);57.301;4.290
2024-11-18;PETR4.SA;37.200;38.300;37.200;38.200;39004100;Weighted Moving Average (WMA);35.023;4.290
2024-11-18;MSFT;414.870;418.404;412.100;415.760;24742013;Commodity Channel Index (CCI);-79.367;4.290
2024-11-18;ITUB4.SA;34.380;34.570;34.220;34.300;18502200;Triple Exponential Moving Average (TEMA);34.146;4.290
2024-11-18;GOOGL;173.420;175.438;172.900;175.300;20206613;Simple Moving Average (SMA);176.356;4.290
2024-11-18;AAPL;225.250;229.740;225.170;228.020;44686020;Exponential Moving Average (EMA);225.399;4.290
2024-11-15;MSFT;419.820;422.800;413.640;415.000;28247644;Commodity Channel Index (CCI);-29.711;4.310
2024-11-15;GOOGL;173.730;174.140;171.220;172.490;32504649;Simple Moving Average (SMA);176.008;4.310
2024-11-15;AAPL;226.400;226.920;224.270;225.000;47923696;Exponential Moving Average (EMA);225.432;4.310
2024-11-14;VALE3.SA;57.160;57.340;56.840;56.840;17967600;Double Exponential Moving Average (DEMA);57.942;4.340
2024-11-14;PETR4.SA;36.920;37.330;36.860;37.270;30262100;Weighted Moving Average (WMA);34.817;4.340
2024-11-14;MSFT;425.000;428.170;420.000;426.890;30246881;Commodity Channel Index (CCI);80.728;4.340
2024-11-14;ITUB4.SA;34.450;34.610;34.170;34.420;30903500;Triple Exponential Moving Average (TEMA);34.368;4.340
2024-11-14;GOOGL;178.280;178.820;174.322;175.580;31007457;Simple Moving Average (SMA);175.642;4.340
2024-11-14;AAPL;225.020;228.870;225.000;228.220;44923941;Exponential Moving Average (EMA);225.217;4.340
2024-11-13;VALE3.SA;57.320;57.720;57.110;57.160;20354900;Double Exponential Moving Average (DEMA);58.802;4.270
2024-11-13;PETR4.SA;36.950;37.070;36.530;36.880;34090000;Weighted Moving Average (WMA);34.641;4.270
2024-11-13;MSFT;421.640;429.325;418.210;425.200;21502185;Commodity Channel Index (CCI);86.197;4.270
2024-11-13;ITUB4.SA;34.800;34.850;34.300;34.520;26218900;Triple Exponential Moving Average (TEMA);34.665;4.270
2024-11-13;GOOGL;180.460;180.960;178.540;178.880;23184003;Simple Moving Average (SMA);175.128;4.270
2024-11-13;AAPL;224.010;226.650;222.760;225.120;48566217;Exponential Moving Average (EMA);225.261;4.270
2024-11-12;VALE3.SA;58.580;58.590;57.200;57.320;26967600;Double Exponential Moving Average (DEMA);59.910;4.340
2024-11-12;PETR4.SA;36.360;37.110;36.340;36.930;39412300;Weighted Moving Average (WMA);34.446;4.340
2024-11-12;MSFT;418.250;424.440;417.200;423.030;19401204;Commodity Channel Index (CCI);35.425;4.340
2024-11-12;ITUB4.SA;35.150;35.280;34.660;34.700;23469800;Triple Exponential Moving Average (TEMA);34.881;4.340
2024-11-12;GOOGL;179.820;182.490;179.390;181.620;25134905;Simple Moving Average (SMA);175.150;4.340
2024-11-12;AAPL;224.550;225.590;223.355;224.230;40398299;Exponential Moving Average (EMA);225.539;4.340
2024-11-08;VALE3.SA;61.990;62.050;59.700;60.630;48764700;Double Exponential Moving Average (DEMA);61.622;4.260
2024-11-08;PETR4.SA;35.850;36.320;35.540;36.180;49865100;Weighted Moving Average (WMA);34.316;4.260
2024-11-08;MSFT;425.320;426.500;421.780;422.540;16891414;Commodity Channel Index (CCI);30.476;4.260
2024-11-08;ITUB4.SA;35.070;35.370;34.880;35.080;23166800;Triple Exponential Moving Average (TEMA);35.240;4.260
2024-11-08;GOOGL;180.645;180.900;178.080;178.350;22006182;Simple Moving Average (SMA);172.960;4.260
2024-11-08;AAPL;227.170;228.660;226.405;226.960;38328824;Exponential Moving Average (EMA);225.927;4.260
2024-11-07;VALE3.SA;62.020;63.990;62.000;63.560;38173300;Double Exponential Moving Average (DEMA);61.657;4.210
2024-11-07;PETR4.SA;35.490;35.890;35.270;35.510;34081200;Weighted Moving Average (WMA);34.306;4.210
